ID,SFSg_0
1,2
2,2
3,0
4,1
5,2
6,2
7,1
8,2
9,1
10,0
11,1
12,2
13,1
14,1
15,2
16,1
17,2
18,2
19,1
20,2
21,1
22,1
23,2
24,2
25,2
26,1
27,0
28,1
29,1
30,2
31,1
32,2
33,2
34,1
35,1
36,1
37,2
38,1
39,1
40,2
41,1
42,2
43,1
44,2
45,1
46,1
47,2
48,1
49,2
50,2
51,2
52,2
53,2
54,1
55,2
56,1
57,2
58,1
59,2
60,1
61,2
62,1
63,1
64,1
65,1
66,1
67,2
68,2
69,2
70,1
71,1
72,1
73,2
74,1
75,0
76,1
77,2
78,2
79,1
80,2
81,1
82,2
83,1
84,1
85,1
86,1
87,2
88,2
89,2
90,1
91,2
92,1
93,1
94,2
95,1
96,1
97,2
98,1
99,2
100,1
101,2
102,2
103,0
104,1
105,2
106,0
107,1
108,2
109,1
110,2
111,2
112,1
113,1
114,2
115,1
116,2
117,1
118,2
119,2
120,2
121,1
122,1
123,2
124,1
125,1
126,2
127,1
128,2
129,1
130,2
131,2
132,2
133,2
134,1
135,1
136,1
137,1
138,2
139,2
140,0
141,1
142,2
143,2
144,1
145,2
146,2
147,1
148,1
149,2
150,1
151,2
152,0
153,1
154,2
155,2
156,2
157,1
158,2
159,2
160,2
161,1
162,2
163,2
164,1
165,1
166,1
167,2
168,0
169,1
170,1
171,1
172,2
173,1
174,2
175,1
176,1
177,1
178,2
179,2
180,2
181,0
182,2
183,1
184,1
185,1
186,2
187,2
188,1
189,2
190,2
191,1
192,1
193,2
194,2
195,1
196,2
197,1
198,1
199,1
200,2
201,1
202,2
203,1
204,2
205,1
206,2
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,2
216,2
217,2
218,2
219,1
220,2
221,1
222,2
223,1
224,2
225,1
226,2
227,1
228,2
229,1
230,1
231,1
232,1
233,2
234,2
235,1
236,1
237,2
238,1
239,1
240,2
241,2
242,2
243,2
244,1
245,1
246,1
247,2
248,1
249,1
250,1
251,1
252,2
253,2
254,1
255,1
256,1
257,1
258,1
259,2
260,1
261,2
262,2
263,0
264,2
265,2
266,1
267,2
